rule,technique,severity,entity,detail,outcome,priority,summary
Brute force,T1110,high,user085@95.45.252.139,48 failed logins in <2h,true_positive,4,Brute force on user085@95.45.252.139 (T1110). Evidence: 48 failed logins in <2h. Next step: confirm the source is expected for this entity and check for related activity.
Brute force,T1110,high,user147@95.7.212.49,28 failed logins in <2h,true_positive,4,Brute force on user147@95.7.212.49 (T1110). Evidence: 28 failed logins in <2h. Next step: confirm the source is expected for this entity and check for related activity.
Brute force,T1110,high,user171@95.144.142.45,34 failed logins in <2h,true_positive,4,Brute force on user171@95.144.142.45 (T1110). Evidence: 34 failed logins in <2h. Next step: confirm the source is expected for this entity and check for related activity.
Brute force,T1110,high,user174@177.198.72.218,62 failed logins in <2h,true_positive,4,Brute force on user174@177.198.72.218 (T1110). Evidence: 62 failed logins in <2h. Next step: confirm the source is expected for this entity and check for related activity.
Impossible travel,T1078,high,user010,US->RU in 0.8h,true_positive,4,Impossible travel on user010 (T1078). Evidence: US->RU in 0.8h. Next step: confirm the source is expected for this entity and check for related activity.
Impossible travel,T1078,high,user011,US->RU in 0.5h,true_positive,4,Impossible travel on user011 (T1078). Evidence: US->RU in 0.5h. Next step: confirm the source is expected for this entity and check for related activity.
Impossible travel,T1078,high,user051,GB->RU in 0.1h,true_positive,4,Impossible travel on user051 (T1078). Evidence: GB->RU in 0.1h. Next step: confirm the source is expected for this entity and check for related activity.
Impossible travel,T1078,high,user057,DE->RU in 1.0h,true_positive,4,Impossible travel on user057 (T1078). Evidence: DE->RU in 1.0h. Next step: confirm the source is expected for this entity and check for related activity.
Impossible travel,T1078,high,user057,RU->DE in 0.3h,true_positive,4,Impossible travel on user057 (T1078). Evidence: RU->DE in 0.3h. Next step: confirm the source is expected for this entity and check for related activity.
Impossible travel,T1078,high,user074,US->RU in 0.8h,true_positive,4,Impossible travel on user074 (T1078). Evidence: US->RU in 0.8h. Next step: confirm the source is expected for this entity and check for related activity.
Impossible travel,T1078,high,user074,RU->GB in 0.5h,true_positive,4,Impossible travel on user074 (T1078). Evidence: RU->GB in 0.5h. Next step: confirm the source is expected for this entity and check for related activity.
Impossible travel,T1078,high,user082,US->RU in 0.2h,true_positive,4,Impossible travel on user082 (T1078). Evidence: US->RU in 0.2h. Next step: confirm the source is expected for this entity and check for related activity.
Impossible travel,T1078,high,user085,RU->US in 1.4h,true_positive,4,Impossible travel on user085 (T1078). Evidence: RU->US in 1.4h. Next step: confirm the source is expected for this entity and check for related activity.
Impossible travel,T1078,high,user134,US->IN in 0.7h,true_positive,4,Impossible travel on user134 (T1078). Evidence: US->IN in 0.7h. Next step: confirm the source is expected for this entity and check for related activity.
Impossible travel,T1078,high,user134,IN->RU in 0.1h,true_positive,4,Impossible travel on user134 (T1078). Evidence: IN->RU in 0.1h. Next step: confirm the source is expected for this entity and check for related activity.
Impossible travel,T1078,high,user134,RU->IN in 0.5h,true_positive,4,Impossible travel on user134 (T1078). Evidence: RU->IN in 0.5h. Next step: confirm the source is expected for this entity and check for related activity.
Impossible travel,T1078,high,user147,RU->US in 0.5h,true_positive,4,Impossible travel on user147 (T1078). Evidence: RU->US in 0.5h. Next step: confirm the source is expected for this entity and check for related activity.
Impossible travel,T1078,high,user156,US->RU in 0.4h,true_positive,4,Impossible travel on user156 (T1078). Evidence: US->RU in 0.4h. Next step: confirm the source is expected for this entity and check for related activity.
Impossible travel,T1078,high,user158,GB->US in 0.5h,true_positive,4,Impossible travel on user158 (T1078). Evidence: GB->US in 0.5h. Next step: confirm the source is expected for this entity and check for related activity.
Impossible travel,T1078,high,user158,US->GB in 0.3h,true_positive,4,Impossible travel on user158 (T1078). Evidence: US->GB in 0.3h. Next step: confirm the source is expected for this entity and check for related activity.
Impossible travel,T1078,high,user158,GB->RU in 0.4h,true_positive,4,Impossible travel on user158 (T1078). Evidence: GB->RU in 0.4h. Next step: confirm the source is expected for this entity and check for related activity.
Impossible travel,T1078,high,user158,RU->GB in 0.4h,true_positive,4,Impossible travel on user158 (T1078). Evidence: RU->GB in 0.4h. Next step: confirm the source is expected for this entity and check for related activity.
Impossible travel,T1078,high,user171,US->RU in 1.1h,true_positive,4,Impossible travel on user171 (T1078). Evidence: US->RU in 1.1h. Next step: confirm the source is expected for this entity and check for related activity.
Impossible travel,T1078,high,user171,RU->US in 0.5h,true_positive,4,Impossible travel on user171 (T1078). Evidence: RU->US in 0.5h. Next step: confirm the source is expected for this entity and check for related activity.
Privilege escalation,T1548,high,host46,usermod -aG sudo user099,true_positive,4,Privilege escalation on host46 (T1548). Evidence: usermod -aG sudo user099. Next step: confirm the source is expected for this entity and check for related activity.
Privilege escalation,T1548,high,host47,sudo bash -i,true_positive,4,Privilege escalation on host47 (T1548). Evidence: sudo bash -i. Next step: confirm the source is expected for this entity and check for related activity.
Privilege escalation,T1548,high,host49,sudo su -,true_positive,4,Privilege escalation on host49 (T1548). Evidence: sudo su -. Next step: confirm the source is expected for this entity and check for related activity.
Privilege escalation,T1548,high,host38,sudo su -,true_positive,4,Privilege escalation on host38 (T1548). Evidence: sudo su -. Next step: confirm the source is expected for this entity and check for related activity.
Privilege escalation,T1548,high,host15,sudo bash -i,true_positive,4,Privilege escalation on host15 (T1548). Evidence: sudo bash -i. Next step: confirm the source is expected for this entity and check for related activity.
Privilege escalation,T1548,high,host38,sudo su -,true_positive,4,Privilege escalation on host38 (T1548). Evidence: sudo su -. Next step: confirm the source is expected for this entity and check for related activity.
Privilege escalation,T1548,high,host36,sudo bash -i,true_positive,4,Privilege escalation on host36 (T1548). Evidence: sudo bash -i. Next step: confirm the source is expected for this entity and check for related activity.
